Image,label
img/Hooded_Purl_Knit_Sweater/img_00000013.jpg,1
img/Drawstring-Collar_Jacket/img_00000015.jpg,1
img/Marled_Stripe_Hooded_Cardigan/img_00000013.jpg,1
img/Hooded_Puff_Parka/img_00000015.jpg,1
img/Quilted_Faux_Leather_Bomber/img_00000036.jpg,1
img/Abstract_Pattern_Cardigan/img_00000059.jpg,1
img/Hooded_Puff_Parka/img_00000003.jpg,1
img/Curved_Hem_Raglan_Tee/img_00000043.jpg,1
img/Faux-Fur_Trimmed_Puffer_Parka/img_00000022.jpg,1
img/Tribal_Pattern_Cardigan/img_00000076.jpg,1
img/Windbreaker_Utility_Jacket/img_00000020.jpg,1
img/Panda-Hood_Pajama_Onesie/img_00000059.jpg,1
img/Hooded_Puffer_Jacket/img_00000082.jpg,1
img/Hooded_Purl_Knit_Sweater/img_00000010.jpg,1
img/Geo_Pattern_Fringe_Cardigan/img_00000011.jpg,1
img/Hooded_Woven_Jacket/img_00000045.jpg,1
img/Hooded_Denim_Jacket/img_00000003.jpg,1
img/Hooded_Puffer_Jacket/img_00000062.jpg,1
img/Drawstring_Legging_Shorts/img_00000032.jpg,1
img/Hooded_Maxi_Dress/img_00000010.jpg,1
img/Hooded_Purl_Knit_Sweater/img_00000050.jpg,1
img/Life_in_Progress_Boxy_Denim_Jacket/img_00000021.jpg,1
img/Faux-Fur_Trimmed_Puffer_Parka/img_00000049.jpg,1
img/Haute_Nights_Tee/img_00000022.jpg,1
img/Hooded_Drape_Cardigan/img_00000065.jpg,1
img/Hooded_Henley_Sweater/img_00000068.jpg,1
img/Pinstriped_A-Line_Dress/img_00000036.jpg,1
img/Hooded_Marled_Cardigan/img_00000018.jpg,1
img/Hooded_Cotton_Canvas_Anorak/img_00000152.jpg,1
img/Faux_Fur_Hood_Parka/img_00000018.jpg,1
img/Tie-Dye_Hooded_Maxi_Dress/img_00000019.jpg,1
img/Faux_Fur_Trimmed_Moto_Jacket/img_00000046.jpg,1
img/Eclectic_M-Slit_Maxi_Dress/img_00000018.jpg,1
img/Crinkled_Crepe_Joggers/img_00000022.jpg,1
img/Faux_Leather-Paneled_Mesh_Jacket/img_00000007.jpg,1
img/Hooded_Maxi_Cardigan/img_00000025.jpg,1
img/Southwestern-Patterned_Poncho/img_00000001.jpg,1
img/Hooded_Puff_Parka/img_00000045.jpg,1
img/Hooded_Maxi_Dress/img_00000048.jpg,1
img/Hooded_Marled_Cardigan/img_00000003.jpg,1
img/Hooded_Southwestern-Inspired_Sweater/img_00000015.jpg,1
img/Everyday_Linen-Blend_Tee/img_00000012.jpg,1
img/Heathered_Double-Drawstring_Hoodie/img_00000002.jpg,1
img/Henley_Pullover_Hoodie/img_00000039.jpg,1
